,date,away,home,time,stadium,address,city,street
385,"Sunday, April 21, 2024",Seattle Mariners,Colorado Rockies," Colorado Rockies
 (2)",2001 Blake Street,"2001 Blake Street, Denver, CO 80205-2000","Denver, CO",2001 Blake Street
386,"Sunday, April 21, 2024",Seattle Mariners,Colorado Rockies," Seattle Mariners
 (10)",2001 Blake Street,"2001 Blake Street, Denver, CO 80205-2000","Denver, CO",2001 Blake Street
387,"Sunday, April 21, 2024",Baltimore Orioles,Kansas City Royals," Baltimore Orioles
 (5)",One Royal Way,"One Royal Way, Kansas City, MO 64129","Kansas City, MO",One Royal Way
388,"Sunday, April 21, 2024",New York Mets,Los Angeles Dodgers," Los Angeles Dodgers
 (10)",1000 Vin Scully Avenue,"1000 Vin Scully Avenue, Los Angeles, CA 90012","Los Angeles, CA",1000 Vin Scully Avenue
389,"Sunday, April 21, 2024",Detroit Tigers,Minnesota Twins," Detroit Tigers
 (6)",1 Twins Way,"1 Twins Way, Minneapolis, MN 55403","Minneapolis, MN",1 Twins Way
390,"Sunday, April 21, 2024",Tampa Bay Rays,New York Yankees," New York Yankees
 (5)",One East 161st Street,"One East 161st Street, Bronx, NY 10451","Bronx, NY",One East 161st Street
391,"Sunday, April 21, 2024",Chicago White Sox,Philadelphia Phillies," Philadelphia Phillies
 (8)",One Citizens Bank Way,"One Citizens Bank Way, Philadelphia, PA 19148","Philadelphia, PA",One Citizens Bank Way
392,"Sunday, April 21, 2024",Boston Red Sox,Pittsburgh Pirates," Boston Red Sox
 (6)",115 Federal Street,"115 Federal Street, Pittsburgh, PA 15212","Pittsburgh, PA",115 Federal Street
393,"Sunday, April 21, 2024",Toronto Blue Jays,San Diego Padres," San Diego Padres
 (6)",100 Park Boulevard,"100 Park Boulevard, San Diego, CA 92101","San Diego, CA",100 Park Boulevard
394,"Sunday, April 21, 2024",Arizona D'Backs,San Francisco Giants," Arizona D'Backs
 (5)",24 Willie Mays Plaza,"24 Willie Mays Plaza, San Francisco, CA 94107","San Francisco, CA",24 Willie Mays Plaza
395,"Sunday, April 21, 2024",Milwaukee Brewers,St. Louis Cardinals," Milwaukee Brewers
 (2)",700 Clark Street,"700 Clark Street, St. Louis, MO 63102","St. Louis, MO",700 Clark Street
396,"Sunday, April 21, 2024",Houston Astros,Washington Nationals," Washington Nationals
 (6)","1500 South Capitol Street, SE","1500 South Capitol Street, SE, Washington, DC 20003-1507","Washington, DC","1500 South Capitol Street, SE"
397,"Monday, April 22, 2024",Baltimore Orioles,Los Angeles Angels," Baltimore Orioles
 (4)",2000 Gene Autry Way,"2000 Gene Autry Way, Anaheim, CA 92806","Anaheim, CA",2000 Gene Autry Way
398,"Monday, April 22, 2024",Miami Marlins,Atlanta Braves," Atlanta Braves
 (3)",755 Battery Avenue,"755 Battery Avenue, Atlanta, GA 30339","Atlanta, GA",755 Battery Avenue
399,"Monday, April 22, 2024",Philadelphia Phillies,Cincinnati Reds," Philadelphia Phillies
 (7)",100 Main Street,"100 Main Street, Cincinnati, OH 45202-4109","Cincinnati, OH",100 Main Street
400,"Monday, April 22, 2024",San Diego Padres,Colorado Rockies," San Diego Padres
 (3)",2001 Blake Street,"2001 Blake Street, Denver, CO 80205-2000","Denver, CO",2001 Blake Street
401,"Monday, April 22, 2024",Toronto Blue Jays,Kansas City Royals," Toronto Blue Jays
 (5)",One Royal Way,"One Royal Way, Kansas City, MO 64129","Kansas City, MO",One Royal Way
402,"Monday, April 22, 2024",Chicago White Sox,Minnesota Twins," Minnesota Twins
 (7)",1 Twins Way,"1 Twins Way, Minneapolis, MN 55403","Minneapolis, MN",1 Twins Way
403,"Monday, April 22, 2024",Oakland Athletics,New York Yankees," Oakland Athletics
 (2)",One East 161st Street,"One East 161st Street, Bronx, NY 10451","Bronx, NY",One East 161st Street
404,"Monday, April 22, 2024",Milwaukee Brewers,Pittsburgh Pirates," Pittsburgh Pirates
 (4)",115 Federal Street,"115 Federal Street, Pittsburgh, PA 15212","Pittsburgh, PA",115 Federal Street
405,"Monday, April 22, 2024",New York Mets,San Francisco Giants," San Francisco Giants
 (5)",24 Willie Mays Plaza,"24 Willie Mays Plaza, San Francisco, CA 94107","San Francisco, CA",24 Willie Mays Plaza
406,"Monday, April 22, 2024",Arizona D'Backs,St. Louis Cardinals," St. Louis Cardinals
 (5)",700 Clark Street,"700 Clark Street, St. Louis, MO 63102","St. Louis, MO",700 Clark Street
407,"Monday, April 22, 2024",Detroit Tigers,Tampa Bay Rays," Detroit Tigers
 (7)",One Tropicana Drive,"One Tropicana Drive, St. Petersburg, FL 33705","St. Petersburg, FL",One Tropicana Drive
408,"Tuesday, April 23, 2024",Baltimore Orioles,Los Angeles Angels," Los Angeles Angels
 (7)",2000 Gene Autry Way,"2000 Gene Autry Way, Anaheim, CA 92806","Anaheim, CA",2000 Gene Autry Way
409,"Tuesday, April 23, 2024",Miami Marlins,Atlanta Braves," Atlanta Braves
 (5)",755 Battery Avenue,"755 Battery Avenue, Atlanta, GA 30339","Atlanta, GA",755 Battery Avenue
410,"Tuesday, April 23, 2024",Houston Astros,Chicago Cubs," Chicago Cubs
 (7)",1060 West Addison,"1060 West Addison, Chicago, IL 60613-4397","Chicago, IL",1060 West Addison
411,"Tuesday, April 23, 2024",Philadelphia Phillies,Cincinnati Reds," Cincinnati Reds
 (8)",100 Main Street,"100 Main Street, Cincinnati, OH 45202-4109","Cincinnati, OH",100 Main Street
412,"Tuesday, April 23, 2024",Boston Red Sox,Cleveland Guardians," Cleveland Guardians
 (4)",2401 Ontario Street,"2401 Ontario Street, Cleveland, OH 44115","Cleveland, OH",2401 Ontario Street
413,"Tuesday, April 23, 2024",San Diego Padres,Colorado Rockies," Colorado Rockies
 (7)",2001 Blake Street,"2001 Blake Street, Denver, CO 80205-2000","Denver, CO",2001 Blake Street
414,"Tuesday, April 23, 2024",Toronto Blue Jays,Kansas City Royals," Kansas City Royals
 (3)",One Royal Way,"One Royal Way, Kansas City, MO 64129","Kansas City, MO",One Royal Way
415,"Tuesday, April 23, 2024",Chicago White Sox,Minnesota Twins," Minnesota Twins
 (6)",1 Twins Way,"1 Twins Way, Minneapolis, MN 55403","Minneapolis, MN",1 Twins Way
416,"Tuesday, April 23, 2024",Oakland Athletics,New York Yankees," New York Yankees
 (4)",One East 161st Street,"One East 161st Street, Bronx, NY 10451","Bronx, NY",One East 161st Street
417,"Tuesday, April 23, 2024",Milwaukee Brewers,Pittsburgh Pirates," Pittsburgh Pirates
 (2)",115 Federal Street,"115 Federal Street, Pittsburgh, PA 15212","Pittsburgh, PA",115 Federal Street
418,"Tuesday, April 23, 2024",New York Mets,San Francisco Giants," San Francisco Giants
 (5)",24 Willie Mays Plaza,"24 Willie Mays Plaza, San Francisco, CA 94107","San Francisco, CA",24 Willie Mays Plaza
419,"Tuesday, April 23, 2024",Arizona D'Backs,St. Louis Cardinals," Arizona D'Backs
 (14)",700 Clark Street,"700 Clark Street, St. Louis, MO 63102","St. Louis, MO",700 Clark Street
420,"Tuesday, April 23, 2024",Detroit Tigers,Tampa Bay Rays," Detroit Tigers
 (4)",One Tropicana Drive,"One Tropicana Drive, St. Petersburg, FL 33705","St. Petersburg, FL",One Tropicana Drive
421,"Tuesday, April 23, 2024",Seattle Mariners,Texas Rangers," Seattle Mariners
 (4)",734 Stadium Drive,"734 Stadium Drive, Arlington, TX 76011","Arlington, TX",734 Stadium Drive
422,"Tuesday, April 23, 2024",Los Angeles Dodgers,Washington Nationals," Los Angeles Dodgers
 (4)","1500 South Capitol Street, SE","1500 South Capitol Street, SE, Washington, DC 20003-1507","Washington, DC","1500 South Capitol Street, SE"
423,"Wednesday, April 24, 2024",Baltimore Orioles,Los Angeles Angels," Baltimore Orioles
 (6)",2000 Gene Autry Way,"2000 Gene Autry Way, Anaheim, CA 92806","Anaheim, CA",2000 Gene Autry Way
424,"Wednesday, April 24, 2024",Miami Marlins,Atlanta Braves," Atlanta Braves
 (4)",755 Battery Avenue,"755 Battery Avenue, Atlanta, GA 30339","Atlanta, GA",755 Battery Avenue
425,"Wednesday, April 24, 2024",Houston Astros,Chicago Cubs," Chicago Cubs
 (4)",1060 West Addison,"1060 West Addison, Chicago, IL 60613-4397","Chicago, IL",1060 West Addison
426,"Wednesday, April 24, 2024",Philadelphia Phillies,Cincinnati Reds," Cincinnati Reds
 (7)",100 Main Street,"100 Main Street, Cincinnati, OH 45202-4109","Cincinnati, OH",100 Main Street
427,"Wednesday, April 24, 2024",Boston Red Sox,Cleveland Guardians," Boston Red Sox
 (8)",2401 Ontario Street,"2401 Ontario Street, Cleveland, OH 44115","Cleveland, OH",2401 Ontario Street
428,"Wednesday, April 24, 2024",San Diego Padres,Colorado Rockies," San Diego Padres
 (5)",2001 Blake Street,"2001 Blake Street, Denver, CO 80205-2000","Denver, CO",2001 Blake Street
429,"Wednesday, April 24, 2024",Toronto Blue Jays,Kansas City Royals," Kansas City Royals
 (3)",One Royal Way,"One Royal Way, Kansas City, MO 64129","Kansas City, MO",One Royal Way
430,"Wednesday, April 24, 2024",Chicago White Sox,Minnesota Twins," Minnesota Twins
 (6)",1 Twins Way,"1 Twins Way, Minneapolis, MN 55403","Minneapolis, MN",1 Twins Way
431,"Wednesday, April 24, 2024",Oakland Athletics,New York Yankees," New York Yankees
 (7)",One East 161st Street,"One East 161st Street, Bronx, NY 10451","Bronx, NY",One East 161st Street
432,"Wednesday, April 24, 2024",Milwaukee Brewers,Pittsburgh Pirates," Milwaukee Brewers
 (3)",115 Federal Street,"115 Federal Street, Pittsburgh, PA 15212","Pittsburgh, PA",115 Federal Street
433,"Wednesday, April 24, 2024",New York Mets,San Francisco Giants," New York Mets
 (8)",24 Willie Mays Plaza,"24 Willie Mays Plaza, San Francisco, CA 94107","San Francisco, CA",24 Willie Mays Plaza
434,"Wednesday, April 24, 2024",Arizona D'Backs,St. Louis Cardinals," St. Louis Cardinals
 (5)",700 Clark Street,"700 Clark Street, St. Louis, MO 63102","St. Louis, MO",700 Clark Street
435,"Wednesday, April 24, 2024",Detroit Tigers,Tampa Bay Rays," Tampa Bay Rays
 (7)",One Tropicana Drive,"One Tropicana Drive, St. Petersburg, FL 33705","St. Petersburg, FL",One Tropicana Drive
436,"Wednesday, April 24, 2024",Seattle Mariners,Texas Rangers," Texas Rangers
 (5)",734 Stadium Drive,"734 Stadium Drive, Arlington, TX 76011","Arlington, TX",734 Stadium Drive
437,"Wednesday, April 24, 2024",Los Angeles Dodgers,Washington Nationals," Los Angeles Dodgers
 (11)","1500 South Capitol Street, SE","1500 South Capitol Street, SE, Washington, DC 20003-1507","Washington, DC","1500 South Capitol Street, SE"
438,"Thursday, April 25, 2024",Houston Astros,Chicago Cubs," Chicago Cubs
 (3)",1060 West Addison,"1060 West Addison, Chicago, IL 60613-4397","Chicago, IL",1060 West Addison
439,"Thursday, April 25, 2024",Philadelphia Phillies,Cincinnati Reds," Philadelphia Phillies
 (5)",100 Main Street,"100 Main Street, Cincinnati, OH 45202-4109","Cincinnati, OH",100 Main Street
440,"Thursday, April 25, 2024",Boston Red Sox,Cleveland Guardians," Cleveland Guardians
 (6)",2401 Ontario Street,"2401 Ontario Street, Cleveland, OH 44115","Cleveland, OH",2401 Ontario Street
441,"Thursday, April 25, 2024",San Diego Padres,Colorado Rockies," Colorado Rockies
 (10)",2001 Blake Street,"2001 Blake Street, Denver, CO 80205-2000","Denver, CO",2001 Blake Street
442,"Thursday, April 25, 2024",Toronto Blue Jays,Kansas City Royals," Kansas City Royals
 (2)",One Royal Way,"One Royal Way, Kansas City, MO 64129","Kansas City, MO",One Royal Way
443,"Thursday, April 25, 2024",Chicago White Sox,Minnesota Twins," Minnesota Twins
 (6)",1 Twins Way,"1 Twins Way, Minneapolis, MN 55403","Minneapolis, MN",1 Twins Way
444,"Thursday, April 25, 2024",Oakland Athletics,New York Yankees," Oakland Athletics
 (3)",One East 161st Street,"One East 161st Street, Bronx, NY 10451","Bronx, NY",One East 161st Street
445,"Thursday, April 25, 2024",Milwaukee Brewers,Pittsburgh Pirates," Milwaukee Brewers
 (7)",115 Federal Street,"115 Federal Street, Pittsburgh, PA 15212","Pittsburgh, PA",115 Federal Street
446,"Thursday, April 25, 2024",Seattle Mariners,Texas Rangers," Seattle Mariners
 (4)",734 Stadium Drive,"734 Stadium Drive, Arlington, TX 76011","Arlington, TX",734 Stadium Drive
447,"Thursday, April 25, 2024",Los Angeles Dodgers,Washington Nationals," Los Angeles Dodgers
 (2)","1500 South Capitol Street, SE","1500 South Capitol Street, SE, Washington, DC 20003-1507","Washington, DC","1500 South Capitol Street, SE"
448,"Friday, April 26, 2024",Minnesota Twins,Los Angeles Angels," Minnesota Twins
 (5)",2000 Gene Autry Way,"2000 Gene Autry Way, Anaheim, CA 92806","Anaheim, CA",2000 Gene Autry Way
449,"Friday, April 26, 2024",Cleveland Guardians,Atlanta Braves," Atlanta Braves
 (6)",755 Battery Avenue,"755 Battery Avenue, Atlanta, GA 30339","Atlanta, GA",755 Battery Avenue
450,"Friday, April 26, 2024",Oakland Athletics,Baltimore Orioles," Oakland Athletics
 (3)",333 West Camden Street,"333 West Camden Street, Baltimore, MD 21201","Baltimore, MD",333 West Camden Street
451,"Friday, April 26, 2024",Chicago Cubs,Boston Red Sox," Chicago Cubs
 (7)",4 Jersey Street,"4 Jersey Street, Boston, MA 02215","Boston, MA",4 Jersey Street
452,"Friday, April 26, 2024",Tampa Bay Rays,Chicago White Sox," Chicago White Sox
 (9)",333 West 35th Street,"333 West 35th Street, Chicago, IL 60616","Chicago, IL",333 West 35th Street
453,"Friday, April 26, 2024",Kansas City Royals,Detroit Tigers," Kansas City Royals
 (8)",2100 Woodward Avenue,"2100 Woodward Avenue, Detroit, MI 48201","Detroit, MI",2100 Woodward Avenue
454,"Friday, April 26, 2024",Washington Nationals,Miami Marlins," Washington Nationals
 (3)",501 Marlins Way,"501 Marlins Way, Miami, FL 33125","Miami, FL",501 Marlins Way
455,"Friday, April 26, 2024",New York Yankees,Milwaukee Brewers," Milwaukee Brewers
 (7)",One Brewers Way,"One Brewers Way, Milwaukee, WI 53214","Milwaukee, WI",One Brewers Way
456,"Friday, April 26, 2024",St. Louis Cardinals,New York Mets," St. Louis Cardinals
 (4)",41 Seaver Way,"41 Seaver Way, Flushing, NY 11368","Flushing, NY",41 Seaver Way
457,"Friday, April 26, 2024",Philadelphia Phillies,San Diego Padres," Philadelphia Phillies
 (9)",100 Park Boulevard,"100 Park Boulevard, San Diego, CA 92101","San Diego, CA",100 Park Boulevard
458,"Friday, April 26, 2024",Arizona D'Backs,Seattle Mariners," Seattle Mariners
 (6)",P.O. Box 4100,"P.O. Box 4100, Seattle, WA 98104","Seattle, WA",P.O. Box 4100
459,"Friday, April 26, 2024",Pittsburgh Pirates,San Francisco Giants," San Francisco Giants
 (3)",24 Willie Mays Plaza,"24 Willie Mays Plaza, San Francisco, CA 94107","San Francisco, CA",24 Willie Mays Plaza
460,"Friday, April 26, 2024",Cincinnati Reds,Texas Rangers," Texas Rangers
 (2)",734 Stadium Drive,"734 Stadium Drive, Arlington, TX 76011","Arlington, TX",734 Stadium Drive
461,"Friday, April 26, 2024",Los Angeles Dodgers,Toronto Blue Jays," Los Angeles Dodgers
 (12)","1 Blue Jays Way, Suite 3200","1 Blue Jays Way, Suite 3200, Toronto, Ontario, Canada M5V1J1","Toronto, Ontario, Canada","1 Blue Jays Way, Suite 3200"
462,"Saturday, April 27, 2024",Minnesota Twins,Los Angeles Angels," Minnesota Twins
 (16)",2000 Gene Autry Way,"2000 Gene Autry Way, Anaheim, CA 92806","Anaheim, CA",2000 Gene Autry Way
463,"Saturday, April 27, 2024",Cleveland Guardians,Atlanta Braves," Cleveland Guardians
 (4)",755 Battery Avenue,"755 Battery Avenue, Atlanta, GA 30339","Atlanta, GA",755 Battery Avenue
464,"Saturday, April 27, 2024",Oakland Athletics,Baltimore Orioles," Baltimore Orioles
 (7)",333 West Camden Street,"333 West Camden Street, Baltimore, MD 21201","Baltimore, MD",333 West Camden Street
465,"Saturday, April 27, 2024",Chicago Cubs,Boston Red Sox," Boston Red Sox
 (17)",4 Jersey Street,"4 Jersey Street, Boston, MA 02215","Boston, MA",4 Jersey Street
466,"Saturday, April 27, 2024",Tampa Bay Rays,Chicago White Sox," Chicago White Sox
 (8)",333 West 35th Street,"333 West 35th Street, Chicago, IL 60616","Chicago, IL",333 West 35th Street
467,"Saturday, April 27, 2024",Houston Astros,Colorado Rockies," Houston Astros
 (12)",2001 Blake Street,"2001 Blake Street, Denver, CO 80205-2000","Denver, CO",2001 Blake Street
468,"Saturday, April 27, 2024",Kansas City Royals,Detroit Tigers," Detroit Tigers
 (6)",2100 Woodward Avenue,"2100 Woodward Avenue, Detroit, MI 48201","Detroit, MI",2100 Woodward Avenue
469,"Saturday, April 27, 2024",Washington Nationals,Miami Marlins," Washington Nationals
 (11)",501 Marlins Way,"501 Marlins Way, Miami, FL 33125","Miami, FL",501 Marlins Way
470,"Saturday, April 27, 2024",New York Yankees,Milwaukee Brewers," New York Yankees
 (15)",One Brewers Way,"One Brewers Way, Milwaukee, WI 53214","Milwaukee, WI",One Brewers Way
471,"Saturday, April 27, 2024",St. Louis Cardinals,New York Mets," St. Louis Cardinals
 (7)",41 Seaver Way,"41 Seaver Way, Flushing, NY 11368","Flushing, NY",41 Seaver Way
472,"Saturday, April 27, 2024",Philadelphia Phillies,San Diego Padres," Philadelphia Phillies
 (5)",100 Park Boulevard,"100 Park Boulevard, San Diego, CA 92101","San Diego, CA",100 Park Boulevard
473,"Saturday, April 27, 2024",Arizona D'Backs,Seattle Mariners," Seattle Mariners
 (3)",P.O. Box 4100,"P.O. Box 4100, Seattle, WA 98104","Seattle, WA",P.O. Box 4100
474,"Saturday, April 27, 2024",Pittsburgh Pirates,San Francisco Giants," Pittsburgh Pirates
 (4)",24 Willie Mays Plaza,"24 Willie Mays Plaza, San Francisco, CA 94107","San Francisco, CA",24 Willie Mays Plaza
475,"Saturday, April 27, 2024",Cincinnati Reds,Texas Rangers," Cincinnati Reds
 (8)",734 Stadium Drive,"734 Stadium Drive, Arlington, TX 76011","Arlington, TX",734 Stadium Drive
476,"Saturday, April 27, 2024",Los Angeles Dodgers,Toronto Blue Jays," Los Angeles Dodgers
 (4)","1 Blue Jays Way, Suite 3200","1 Blue Jays Way, Suite 3200, Toronto, Ontario, Canada M5V1J1","Toronto, Ontario, Canada","1 Blue Jays Way, Suite 3200"
477,"Sunday, April 28, 2024",Minnesota Twins,Los Angeles Angels," Minnesota Twins
 (11)",2000 Gene Autry Way,"2000 Gene Autry Way, Anaheim, CA 92806","Anaheim, CA",2000 Gene Autry Way
478,"Sunday, April 28, 2024",Cleveland Guardians,Atlanta Braves," Atlanta Braves
 (4)",755 Battery Avenue,"755 Battery Avenue, Atlanta, GA 30339","Atlanta, GA",755 Battery Avenue
479,"Sunday, April 28, 2024",Oakland Athletics,Baltimore Orioles," Oakland Athletics
 (7)",333 West Camden Street,"333 West Camden Street, Baltimore, MD 21201","Baltimore, MD",333 West Camden Street
480,"Sunday, April 28, 2024",Chicago Cubs,Boston Red Sox," Boston Red Sox
 (5)",4 Jersey Street,"4 Jersey Street, Boston, MA 02215","Boston, MA",4 Jersey Street
481,"Sunday, April 28, 2024",Tampa Bay Rays,Chicago White Sox," Chicago White Sox
 (4)",333 West 35th Street,"333 West 35th Street, Chicago, IL 60616","Chicago, IL",333 West 35th Street
482,"Sunday, April 28, 2024",Houston Astros,Colorado Rockies," Houston Astros
 (8)",2001 Blake Street,"2001 Blake Street, Denver, CO 80205-2000","Denver, CO",2001 Blake Street
483,"Sunday, April 28, 2024",Kansas City Royals,Detroit Tigers," Detroit Tigers
 (4)",2100 Woodward Avenue,"2100 Woodward Avenue, Detroit, MI 48201","Detroit, MI",2100 Woodward Avenue
484,"Sunday, April 28, 2024",Washington Nationals,Miami Marlins," Washington Nationals
 (12)",501 Marlins Way,"501 Marlins Way, Miami, FL 33125","Miami, FL",501 Marlins Way
485,"Sunday, April 28, 2024",New York Yankees,Milwaukee Brewers," New York Yankees
 (15)",One Brewers Way,"One Brewers Way, Milwaukee, WI 53214","Milwaukee, WI",One Brewers Way
486,"Sunday, April 28, 2024",St. Louis Cardinals,New York Mets," New York Mets
 (4)",41 Seaver Way,"41 Seaver Way, Flushing, NY 11368","Flushing, NY",41 Seaver Way
487,"Sunday, April 28, 2024",Philadelphia Phillies,San Diego Padres," Philadelphia Phillies
 (8)",100 Park Boulevard,"100 Park Boulevard, San Diego, CA 92101","San Diego, CA",100 Park Boulevard
488,"Sunday, April 28, 2024",Arizona D'Backs,Seattle Mariners," Arizona D'Backs
 (3)",P.O. Box 4100,"P.O. Box 4100, Seattle, WA 98104","Seattle, WA",P.O. Box 4100
489,"Sunday, April 28, 2024",Pittsburgh Pirates,San Francisco Giants," San Francisco Giants
 (3)",24 Willie Mays Plaza,"24 Willie Mays Plaza, San Francisco, CA 94107","San Francisco, CA",24 Willie Mays Plaza
490,"Sunday, April 28, 2024",Cincinnati Reds,Texas Rangers," Texas Rangers
 (4)",734 Stadium Drive,"734 Stadium Drive, Arlington, TX 76011","Arlington, TX",734 Stadium Drive
491,"Sunday, April 28, 2024",Los Angeles Dodgers,Toronto Blue Jays," Toronto Blue Jays
 (3)","1 Blue Jays Way, Suite 3200","1 Blue Jays Way, Suite 3200, Toronto, Ontario, Canada M5V1J1","Toronto, Ontario, Canada","1 Blue Jays Way, Suite 3200"
492,"Monday, April 29, 2024",Philadelphia Phillies,Los Angeles Angels," Los Angeles Angels
 (6)",2000 Gene Autry Way,"2000 Gene Autry Way, Anaheim, CA 92806","Anaheim, CA",2000 Gene Autry Way
493,"Monday, April 29, 2024",Los Angeles Dodgers,Arizona D'Backs," Los Angeles Dodgers
 (8)",,,,
494,"Monday, April 29, 2024",New York Yankees,Baltimore Orioles," Baltimore Orioles
 (2)",333 West Camden Street,"333 West Camden Street, Baltimore, MD 21201","Baltimore, MD",333 West Camden Street
495,"Monday, April 29, 2024",Minnesota Twins,Chicago White Sox," Minnesota Twins
 (3)",333 West 35th Street,"333 West 35th Street, Chicago, IL 60616","Chicago, IL",333 West 35th Street
496,"Monday, April 29, 2024",Washington Nationals,Miami Marlins," Washington Nationals
 (7)",501 Marlins Way,"501 Marlins Way, Miami, FL 33125","Miami, FL",501 Marlins Way
497,"Monday, April 29, 2024",Tampa Bay Rays,Milwaukee Brewers," Tampa Bay Rays
 (1)",One Brewers Way,"One Brewers Way, Milwaukee, WI 53214","Milwaukee, WI",One Brewers Way
498,"Monday, April 29, 2024",Chicago Cubs,New York Mets," Chicago Cubs
 (3)",41 Seaver Way,"41 Seaver Way, Flushing, NY 11368","Flushing, NY",41 Seaver Way
499,"Monday, April 29, 2024",Pittsburgh Pirates,Oakland Athletics," Oakland Athletics
 (5)",7000 Coliseum Way,"7000 Coliseum Way, Oakland, CA 94621","Oakland, CA",7000 Coliseum Way
500,"Monday, April 29, 2024",Cincinnati Reds,San Diego Padres," Cincinnati Reds
 (5)",100 Park Boulevard,"100 Park Boulevard, San Diego, CA 92101","San Diego, CA",100 Park Boulevard
501,"Monday, April 29, 2024",Atlanta Braves,Seattle Mariners," Seattle Mariners
 (2)",P.O. Box 4100,"P.O. Box 4100, Seattle, WA 98104","Seattle, WA",P.O. Box 4100
502,"Monday, April 29, 2024",Kansas City Royals,Toronto Blue Jays," Toronto Blue Jays
 (6)","1 Blue Jays Way, Suite 3200","1 Blue Jays Way, Suite 3200, Toronto, Ontario, Canada M5V1J1","Toronto, Ontario, Canada","1 Blue Jays Way, Suite 3200"
503,"Tuesday, April 30, 2024",Philadelphia Phillies,Los Angeles Angels," Philadelphia Phillies
 (7)",2000 Gene Autry Way,"2000 Gene Autry Way, Anaheim, CA 92806","Anaheim, CA",2000 Gene Autry Way
504,"Tuesday, April 30, 2024",Los Angeles Dodgers,Arizona D'Backs," Arizona D'Backs
 (4)",,,,
505,"Tuesday, April 30, 2024",New York Yankees,Baltimore Orioles," Baltimore Orioles
 (4)",333 West Camden Street,"333 West Camden Street, Baltimore, MD 21201","Baltimore, MD",333 West Camden Street
506,"Tuesday, April 30, 2024",San Francisco Giants,Boston Red Sox," Boston Red Sox
 (4)",4 Jersey Street,"4 Jersey Street, Boston, MA 02215","Boston, MA",4 Jersey Street
507,"Tuesday, April 30, 2024",Minnesota Twins,Chicago White Sox," Minnesota Twins
 (6)",333 West 35th Street,"333 West 35th Street, Chicago, IL 60616","Chicago, IL",333 West 35th Street
508,"Tuesday, April 30, 2024",St. Louis Cardinals,Detroit Tigers," St. Louis Cardinals
 (2)",2100 Woodward Avenue,"2100 Woodward Avenue, Detroit, MI 48201","Detroit, MI",2100 Woodward Avenue
509,"Tuesday, April 30, 2024",St. Louis Cardinals,Detroit Tigers," Detroit Tigers
 (11)",2100 Woodward Avenue,"2100 Woodward Avenue, Detroit, MI 48201","Detroit, MI",2100 Woodward Avenue
510,"Tuesday, April 30, 2024",Cleveland Guardians,Houston Astros," Houston Astros
 (10)",501 Crawford Street,"501 Crawford Street, Houston, TX 77002","Houston, TX",501 Crawford Street
511,"Tuesday, April 30, 2024",Colorado Rockies,Miami Marlins," Miami Marlins
 (7)",501 Marlins Way,"501 Marlins Way, Miami, FL 33125","Miami, FL",501 Marlins Way
512,"Tuesday, April 30, 2024",Tampa Bay Rays,Milwaukee Brewers," Milwaukee Brewers
 (8)",One Brewers Way,"One Brewers Way, Milwaukee, WI 53214","Milwaukee, WI",One Brewers Way
513,"Tuesday, April 30, 2024",Chicago Cubs,New York Mets," New York Mets
 (4)",41 Seaver Way,"41 Seaver Way, Flushing, NY 11368","Flushing, NY",41 Seaver Way
514,"Tuesday, April 30, 2024",Pittsburgh Pirates,Oakland Athletics," Oakland Athletics
 (5)",7000 Coliseum Way,"7000 Coliseum Way, Oakland, CA 94621","Oakland, CA",7000 Coliseum Way
515,"Tuesday, April 30, 2024",Cincinnati Reds,San Diego Padres," San Diego Padres
 (6)",100 Park Boulevard,"100 Park Boulevard, San Diego, CA 92101","San Diego, CA",100 Park Boulevard
516,"Tuesday, April 30, 2024",Atlanta Braves,Seattle Mariners," Seattle Mariners
 (3)",P.O. Box 4100,"P.O. Box 4100, Seattle, WA 98104","Seattle, WA",P.O. Box 4100
517,"Tuesday, April 30, 2024",Washington Nationals,Texas Rangers," Texas Rangers
 (7)",734 Stadium Drive,"734 Stadium Drive, Arlington, TX 76011","Arlington, TX",734 Stadium Drive
518,"Tuesday, April 30, 2024",Kansas City Royals,Toronto Blue Jays," Kansas City Royals
 (4)","1 Blue Jays Way, Suite 3200","1 Blue Jays Way, Suite 3200, Toronto, Ontario, Canada M5V1J1","Toronto, Ontario, Canada","1 Blue Jays Way, Suite 3200"
519,"Wednesday, May 1, 2024",Philadelphia Phillies,Los Angeles Angels," Philadelphia Phillies
 (2)",2000 Gene Autry Way,"2000 Gene Autry Way, Anaheim, CA 92806","Anaheim, CA",2000 Gene Autry Way
520,"Wednesday, May 1, 2024",Los Angeles Dodgers,Arizona D'Backs," Los Angeles Dodgers
 (8)",,,,
521,"Wednesday, May 1, 2024",New York Yankees,Baltimore Orioles," New York Yankees
 (2)",333 West Camden Street,"333 West Camden Street, Baltimore, MD 21201","Baltimore, MD",333 West Camden Street
522,"Wednesday, May 1, 2024",San Francisco Giants,Boston Red Sox," Boston Red Sox
 (6)",4 Jersey Street,"4 Jersey Street, Boston, MA 02215","Boston, MA",4 Jersey Street
523,"Wednesday, May 1, 2024",Minnesota Twins,Chicago White Sox," Minnesota Twins
 (10)",333 West 35th Street,"333 West 35th Street, Chicago, IL 60616","Chicago, IL",333 West 35th Street
